Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,36.080002,38.470001,35.189999,35.470001,26.233730,41844000
2018-01-01,35.599998,39.380001,35.459999,37.200001,27.513245,42769400
2018-02-01,37.180000,38.299999,33.830002,34.529999,25.538502,32941700
2018-03-01,34.619999,35.689999,31.600000,33.040001,24.834370,45451200
2018-04-01,33.020000,35.980000,31.660000,35.330002,26.555634,41382000
2018-05-01,35.470001,37.480000,33.630001,35.910000,26.991587,33962900
2018-06-01,35.919998,36.919998,33.509998,34.139999,26.119888,25631700
2018-07-01,34.150002,37.049999,33.340000,36.430000,27.871925,30062300
2018-08-01,36.310001,39.009998,35.139999,35.470001,27.137447,40183700
2018-09-01,35.400002,37.240002,34.040001,34.680000,26.986786,26198300
2018-10-01,35.000000,35.900002,32.299999,33.610001,26.154150,33836600
2018-11-01,34.000000,35.189999,31.680000,33.130001,25.780630,33535200
2018-12-01,33.709999,35.139999,28.320000,30.299999,24.022667,58638800
2019-01-01,29.990000,35.849998,29.700001,35.119999,27.844093,36459700
2019-02-01,35.200001,35.750000,32.160000,33.160000,26.290152,38788900
2019-03-01,33.360001,34.590000,32.290001,32.889999,26.558426,27543100
2019-04-01,33.000000,33.650002,31.360001,32.259998,26.049707,28962900
2019-05-01,32.340000,32.939999,30.200001,30.580000,24.693117,53245400
2019-06-01,30.750000,32.529999,30.629999,32.189999,26.535601,32673300
2019-07-01,32.500000,32.650002,28.219999,29.350000,24.194466,66685700
2019-08-01,29.920000,30.190001,25.850000,27.910000,23.007414,57733000
2019-09-01,27.570000,30.530001,27.420000,28.010000,23.626671,51972100
2019-10-01,28.010000,28.370001,26.010000,26.370001,22.243319,45964100
2019-11-01,25.969999,26.780001,22.600000,23.650000,19.948973,66677100
2019-12-01,23.750000,26.129999,22.930000,25.459999,22.042459,76412600
2020-01-01,25.660000,27.360001,23.030001,24.049999,20.821724,83343000
2020-02-01,23.500000,24.219999,17.680000,20.290001,17.566439,78239300
2020-03-01,20.650000,20.650000,6.870000,11.620000,10.356496,163050500
2020-04-01,10.930000,20.070000,10.500000,18.100000,16.131891,127939200
2020-05-01,17.709999,20.420000,16.520000,18.990000,16.925116,68452300
2020-06-01,19.000000,21.930000,16.590000,17.280001,16.045107,74440800
2020-07-01,17.180000,19.120001,16.850000,18.270000,16.964355,59899900
2020-08-01,18.930000,20.150000,17.580000,18.270000,16.964355,57608100
2020-09-01,18.100000,18.230000,15.170000,15.740000,15.157162,64598800
2020-10-01,15.710000,17.799999,15.050000,17.209999,16.572729,48555500
2020-11-01,17.620001,22.950001,17.320000,21.040001,20.260908,57187100
2020-12-01,21.299999,23.940001,21.030001,21.650000,21.650000,54468000
2021-01-01,22.129999,25.290001,21.660000,24.900000,24.900000,22765500
